N,x,y,z,d,varx,vary,varz,vard,distance
5000,-9.9944,0.559577,10.0074,0.0420466,0.056347,0.214863,0.0864786,0.00488939,0.0602912
5000,-10,0.533284,9.99497,0.0516748,0.0466628,0.169203,0.0709677,0.00630779,0.0336615
5100,-9.86408,-0.0750007,9.97215,0.00834003,0.258709,1.00376,1.08121,0.000996412,0.591502
5100,-9.93891,0.217387,9.99125,0.0217076,0.0780469,0.361451,0.152752,0.00222222,0.289274
5100,-9.96584,0.284342,9.97711,0.03139,0.0516505,0.213495,0.0962529,0.00345449,0.219543
5100,-9.97601,0.323135,9.97104,0.0418573,0.0420729,0.140821,0.0731347,0.00493176,0.180819
5100,-9.98325,0.345809,9.97494,0.0498414,0.0380671,0.108061,0.0608562,0.00623113,0.157109
5200,-9.78951,0.349093,10.2404,0.00964393,0.149526,1.21354,0.513854,0.00110932,0.353383
5200,-9.82467,0.405834,10.1993,0.021609,0.0694908,0.47952,0.11162,0.00223482,0.281674
5200,-9.85751,0.436223,10.1677,0.0303648,0.0544235,0.318137,0.0768981,0.00327584,0.229086
5200,-9.88438,0.455028,10.1393,0.040062,0.0484047,0.24388,0.0642884,0.00466612,0.186505
5200,-9.90671,0.473989,10.1149,0.0482141,0.0431241,0.198196,0.0570345,0.00602987,0.150235
5300,-9.96734,0.902957,10.0486,0.00894764,0.338606,0.90673,0.94713,0.000991469,0.407184
5300,-10.0456,0.894846,9.98969,0.0204858,0.172087,0.383216,0.277862,0.00213205,0.397599
5300,-10.0704,0.840366,9.9584,0.0306045,0.112013,0.255022,0.168999,0.00329964,0.350049
5300,-10.0705,0.788233,9.95614,0.0404787,0.0818805,0.197801,0.121813,0.00456492,0.299945
5300,-10.0598,0.745409,9.96076,0.0486561,0.065783,0.164982,0.0977711,0.00597163,0.255616
5400,-9.94834,0.527435,9.94477,0.00809243,0.284174,2.12634,0.678994,0.0010373,0.0804452
5400,-10.1308,0.561075,9.80589,0.0204238,0.077623,0.580467,0.125584,0.00212789,0.241916
5400,-10.1337,0.656499,9.83842,0.0303637,0.0506485,0.244212,0.0833804,0.00343973,0.261669
5400,-10.122,0.682551,9.86646,0.0392439,0.0409505,0.145979,0.0691027,0.00461423,0.256988
5400,-10.1077,0.675556,9.88366,0.0479046,0.0364431,0.113005,0.0590344,0.00587727,0.236523
5500,-9.80552,0.254344,10.1393,0.00685629,0.36311,1.71534,1.19386,0.000893203,0.342887
5500,-9.94672,0.581224,10.0418,0.0186424,0.178385,0.592754,0.266467,0.0019613,0.105745
5500,-9.97783,0.648991,10.0328,0.0291066,0.116721,0.337876,0.173319,0.00304841,0.154154
5500,-9.98262,0.65165,10.0326,0.036147,0.0835047,0.225926,0.127256,0.00413775,0.156076
5500,-9.98265,0.638299,10.0372,0.0442679,0.0674704,0.172014,0.0996633,0.00525726,0.14427
5600,-10.0724,0.610685,9.85317,0.00511169,0.254409,0.888214,0.636319,0.000801024,0.197628
5600,-10.0059,0.562513,9.98813,0.0180432,0.120224,0.308193,0.173809,0.00193416,0.0638991
5600,-9.97624,0.552083,10.0292,0.0296151,0.0818259,0.205542,0.118754,0.00313024,0.0642705
5600,-9.96569,0.551402,10.0457,0.0377627,0.0600417,0.158038,0.0914389,0.00425602,0.0768821
5600,-9.95985,0.550745,10.051,0.0471989,0.0493544,0.13084,0.0760056,0.00554524,0.0823884
5700,-9.90484,0.731449,10.1817,0.00684694,0.252678,0.905273,0.543357,0.000856375,0.309276
5700,-10.0075,0.727875,10.033,0.0194522,0.127181,0.36674,0.186395,0.0020134,0.230371
5700,-10.027,0.69619,10.0005,0.0287323,0.0879857,0.243476,0.12934,0.00305191,0.198039
5700,-10.032,0.67501,9.99227,0.0386472,0.0670422,0.188602,0.0986838,0.00424539,0.178086
5700,-10.0285,0.654746,9.9921,0.0464678,0.0567612,0.159988,0.0826317,0.00551737,0.157546
5800,-10.0957,0.330542,9.77876,0.00681467,0.211814,1.08977,0.514957,0.000871499,0.294663
5800,-10.111,0.362739,9.81863,0.0188375,0.104925,0.50483,0.158088,0.00193722,0.253108
5800,-10.1001,0.386984,9.83908,0.0302222,0.0759989,0.336867,0.114236,0.00328078,0.220674
5800,-10.0879,0.411434,9.85904,0.0407692,0.0609533,0.250214,0.0934825,0.00458766,0.188234
5800,-10.0755,0.423957,9.87815,0.0478464,0.0524193,0.203537,0.0796356,0.00597138,0.162262
5900,-9.97129,0.246953,9.93076,0.00426751,0.300797,1.15102,0.999624,0.000745027,0.263916
5900,-9.94426,0.595134,10.0827,0.0163165,0.127131,0.378138,0.208548,0.00177212,0.13783
5900,-9.94891,0.643364,10.0831,0.0274039,0.0829459,0.241559,0.127639,0.0029298,0.173414
5900,-9.95849,0.658895,10.0778,0.037463,0.0623274,0.177477,0.0936495,0.00431814,0.181727
5900,-9.96481,0.657233,10.0698,0.0469742,0.0508333,0.138341,0.0752361,0.00568645,0.175603
6000,-10.0448,0.307254,9.83438,0.00813247,0.28019,1.06763,0.683196,0.00105442,0.258045
6000,-10.1078,0.352693,9.80792,0.0204381,0.108579,0.46505,0.158746,0.0021319,0.264966
6000,-10.0848,0.40511,9.85166,0.0314605,0.0713415,0.29444,0.103263,0.00340841,0.19546
6000,-10.0679,0.433719,9.88198,0.0396896,0.0545259,0.221613,0.0793007,0.00459571,0.151453
6000,-10.0585,0.456344,9.90586,0.0484713,0.044632,0.177365,0.0648118,0.00592186,0.119125
6100,-10.1625,0.593521,9.65172,0.00897852,0.248555,1.50519,0.676631,0.0010324,0.395547
6100,-10.0947,0.511356,9.84021,0.0199076,0.127612,0.852551,0.18627,0.00207624,0.186112
6100,-10.0794,0.424469,9.86307,0.0296618,0.0827478,0.562467,0.11398,0.00319399,0.175363
6100,-10.0656,0.391153,9.87826,0.0377543,0.0601387,0.386162,0.0863712,0.00435159,0.175988
6100,-10.0537,0.385373,9.89575,0.0456655,0.0477355,0.27302,0.0708585,0.0054434,0.163973
6200,-10.0105,0.233379,9.79016,0.00838741,0.277701,1.48628,0.808706,0.000997954,0.339454
6200,-9.98611,0.398743,9.96415,0.0186242,0.124286,0.470039,0.159122,0.00200297,0.108311
6200,-9.97703,0.379599,9.98623,0.0277476,0.0843199,0.300574,0.108966,0.00298728,0.123343
6200,-9.97251,0.368158,9.99903,0.0362772,0.0647401,0.230341,0.0846418,0.0041953,0.13468
6200,-9.97007,0.372025,10.0035,0.0455027,0.0530701,0.190499,0.0720508,0.00562063,0.131476
6300,-9.89856,0.592535,10.2148,0.00677527,0.378757,1.72623,1.27402,0.00092881,0.254905
6300,-10.0353,0.683251,9.99049,0.0195225,0.199423,0.544202,0.325281,0.00206953,0.186855
6300,-10.0671,0.644667,9.93211,0.0291547,0.126545,0.293776,0.195969,0.00332049,0.173305
6300,-10.0588,0.627099,9.93901,0.0382291,0.0925853,0.199486,0.142042,0.00441927,0.15276
6300,-10.0482,0.615418,9.95138,0.0481996,0.0729916,0.155561,0.112193,0.00572255,0.134187
6400,-9.98401,0.619174,9.95454,0.00882334,0.269682,0.992826,0.873886,0.00106706,0.128547
6400,-9.96562,0.633301,10.0403,0.019482,0.121495,0.496757,0.203437,0.00206521,0.143436
6400,-9.97793,0.615217,10.0366,0.0311615,0.0815417,0.32222,0.122402,0.00344154,0.122886
6400,-9.98292,0.609318,10.0336,0.0401118,0.0629464,0.227948,0.0920256,0.00466423,0.115623
6400,-9.98723,0.599942,10.0279,0.0480607,0.0511528,0.17163,0.0748591,0.00604288,0.104542
6500,-9.97616,0.382278,9.88651,0.00890756,0.272568,0.948175,0.609945,0.00103901,0.165245
6500,-10.0672,0.339706,9.81802,0.0220953,0.103458,0.437385,0.149364,0.00224856,0.251635
6500,-10.0747,0.359014,9.83977,0.0321142,0.0648831,0.264263,0.0930623,0.0033921,0.22612
6500,-10.0746,0.376497,9.8544,0.040012,0.0507172,0.178152,0.0714065,0.00450573,0.204984
6500,-10.0689,0.391346,9.86889,0.0496234,0.0431552,0.135296,0.0623436,0.00611276,0.183696
6600,-9.94273,0.0550059,9.94644,0.00729363,0.259981,1.1083,0.658486,0.00097024,0.45185
6600,-9.94737,0.0311396,9.97136,0.0210254,0.129102,0.375364,0.202623,0.00226931,0.472673
6600,-9.95626,0.0817518,9.97626,0.0308427,0.094808,0.231434,0.140285,0.0035604,0.421198
6600,-9.96073,0.1352,9.9788,0.0400979,0.0755792,0.180836,0.111563,0.00495969,0.367519
6600,-9.96462,0.179827,9.98248,0.0489895,0.063428,0.152234,0.092279,0.00600602,0.322598
6700,-9.96638,-0.139941,9.87516,0.00934047,0.196701,1.23472,0.521908,0.00100047,0.65287
6700,-10.0265,0.387331,9.94214,0.0229528,0.0910048,0.6266,0.128746,0.00231445,0.129399
6700,-10.0451,0.550338,9.95653,0.034269,0.0605671,0.370107,0.0816921,0.00378871,0.0803758
6700,-10.0457,0.595988,9.9631,0.0435275,0.0476253,0.249835,0.0631998,0.00531903,0.112529
6700,-10.0448,0.607847,9.96715,0.0507397,0.0407722,0.184048,0.0550117,0.00650262,0.121315
6800,-10.1353,0.558111,9.7046,0.00696723,0.234298,1.11436,0.775918,0.000952913,0.330047
6800,-10.0969,0.569373,9.86652,0.020984,0.0998766,0.458379,0.192554,0.00216876,0.178953
6800,-10.0619,0.512535,9.90728,0.0316859,0.0649364,0.298053,0.116632,0.00345185,0.112165
6800,-10.0446,0.485276,9.93273,0.0410967,0.0497578,0.214367,0.0851087,0.00483376,0.0820709
6800,-10.0336,0.476477,9.94844,0.0492113,0.0396897,0.165592,0.0678622,0.0063009,0.0658807
6900,-9.98814,0.429935,9.91621,0.00886245,0.25917,0.92013,0.749254,0.000989482,0.109865
6900,-9.99057,0.506295,9.98829,0.0208918,0.14946,0.40759,0.27807,0.00211935,0.0163048
6900,-9.99248,0.517362,9.99932,0.0307086,0.0998338,0.265166,0.179268,0.00331337,0.0189344
6900,-9.9931,0.521427,10.0054,0.0401592,0.0741546,0.203366,0.129702,0.00473293,0.0231562
6900,-9.99625,0.517272,10.0057,0.0479329,0.0598773,0.161511,0.101802,0.00601475,0.0185717
7000,-9.89534,0.423043,10.0837,0.0104438,0.205026,0.983607,0.620792,0.00112776,0.15456
7000,-9.8441,0.460166,10.1867,0.0202745,0.0920218,0.437224,0.166459,0.00225091,0.246492
7000,-9.85757,0.466487,10.1721,0.0317162,0.0630076,0.315435,0.107367,0.00345819,0.225898
7000,-9.87533,0.4724,10.1505,0.0415765,0.0500233,0.248783,0.0837807,0.0048495,0.197355
7000,-9.89139,0.481321,10.1311,0.0501299,0.0426794,0.205808,0.0708834,0.00625829,0.171254
7100,-9.71301,0.767528,10.4597,0.00764837,0.233118,1.14646,0.870598,0.000945732,0.604388
7100,-9.81681,0.7479,10.2784,0.0201811,0.0957258,0.457666,0.152029,0.00199482,0.415367
7100,-9.8737,0.623336,10.1844,0.0292482,0.0648739,0.315742,0.101135,0.00306751,0.255277
7100,-9.90702,0.553554,10.1334,0.0378007,0.0488522,0.231733,0.0770382,0.00420621,0.171218
7100,-9.92382,0.516554,10.1021,0.0466102,0.0422918,0.179971,0.0641853,0.00573771,0.128427
7200,-10.007,-0.0242085,9.73426,0.0068958,0.358668,0.977545,1.15095,0.00090116,0.587761
7200,-9.95137,0.347619,9.98088,0.0200924,0.15657,0.471434,0.269186,0.00214086,0.161092
7200,-9.97456,0.472693,9.99254,0.0299951,0.100351,0.329691,0.150846,0.00336786,0.0380574
7200,-9.99528,0.528492,9.9863,0.0410831,0.0750061,0.25553,0.108078,0.00474708,0.0319636
7200,-10.0088,0.554941,9.979,0.0496977,0.0607126,0.210357,0.0865246,0.00599343,0.0594691
7300,-9.74913,0.63392,10.3366,0.00788184,0.221317,1.07375,0.606226,0.00094883,0.440646
7300,-9.80155,0.583266,10.2389,0.019811,0.0957074,0.349077,0.140128,0.00204212,0.321581
7300,-9.84219,0.573957,10.1949,0.0299651,0.0678107,0.207445,0.0938725,0.00328431,0.261439
7300,-9.86986,0.56598,10.1667,0.0393604,0.0552242,0.151922,0.0757784,0.00448776,0.22157
7300,-9.88878,0.558834,10.1431,0.0475604,0.0476848,0.123922,0.0661193,0.00596587,0.190539
7400,-10.0822,0.286188,9.78178,0.00758482,0.235171,0.784053,0.811378,0.000959597,0.316366
7400,-9.96394,0.287625,9.99567,0.0188306,0.104468,0.326144,0.196888,0.00201066,0.215458
7400,-9.94542,0.340823,10.0327,0.0280767,0.0712007,0.222549,0.126603,0.0030573,0.171427
7400,-9.94259,0.380782,10.0435,0.0372774,0.0570077,0.170489,0.0974209,0.00417347,0.139285
7400,-9.94725,0.406002,10.0442,0.0465534,0.0484106,0.142702,0.0806404,0.00560077,0.116498
7500,-9.93423,0.522721,9.99558,0.00620104,0.315878,1.36352,0.988538,0.000827971,0.0697209
7500,-9.99436,0.34928,9.95341,0.0195738,0.159822,0.507581,0.266917,0.00205808,0.157858
7500,-10.0275,0.378038,9.91824,0.0308189,0.103308,0.312448,0.160695,0.00336646,0.149385
7500,-10.0403,0.409349,9.91101,0.0399055,0.0746751,0.220339,0.116581,0.00457867,0.133279
7500,-10.0466,0.430735,9.91148,0.0485906,0.0613602,0.169817,0.0933299,0.00583619,0.121672
7600,-9.9704,0.699628,10.0897,0.00757966,0.233205,1.44404,0.636598,0.00105042,0.220847
7600,-10.0121,0.638786,10.0265,0.0210545,0.11356,0.549222,0.201473,0.00219848,0.141808
7600,-10.0043,0.588823,10.0232,0.0309215,0.0711028,0.292014,0.116467,0.00346262,0.0918913
7600,-9.99527,0.557205,10.0225,0.0401347,0.0530217,0.201566,0.0831875,0.00481022,0.0616658
7600,-9.99063,0.540008,10.0219,0.0493458,0.0436387,0.156664,0.0684565,0.00624665,0.0465405
7700,-9.87322,0.379928,10.1388,0.00804711,0.330897,0.843968,0.998035,0.000936242,0.223046
7700,-9.97058,0.463367,10.0206,0.0178965,0.164655,0.317544,0.313648,0.00190094,0.0512859
7700,-9.981,0.491295,10.0168,0.027344,0.109315,0.213067,0.19,0.00290532,0.0268309
7700,-9.98479,0.500851,10.0148,0.0373429,0.081663,0.16394,0.135484,0.00422162,0.0212349
7700,-9.98571,0.50906,10.0144,0.044878,0.0642647,0.13759,0.10208,0.00547861,0.0221939
7800,-10.2617,0.607113,9.52142,0.00904595,0.25802,1.20057,0.584252,0.00104579,0.555862
7800,-10.2412,0.587429,9.6782,0.0199135,0.120828,0.532699,0.187631,0.00203304,0.411535
7800,-10.1984,0.572955,9.73537,0.0287023,0.0799458,0.34477,0.126631,0.00316601,0.338696
7800,-10.1626,0.547525,9.77958,0.0375277,0.0610743,0.249113,0.0962178,0.00446123,0.278023
7800,-10.1381,0.529422,9.81195,0.0458757,0.0502132,0.193968,0.0768085,0.00584489,0.235156
7900,-10.1056,0.248274,9.66859,0.00667961,0.228247,0.929291,0.587867,0.000913371,0.429362
7900,-10.1063,0.370787,9.80317,0.0198478,0.139451,0.398881,0.244474,0.00204219,0.258328
7900,-10.088,0.408937,9.85053,0.0304126,0.102465,0.279855,0.177368,0.00327171,0.195914
7900,-10.0714,0.435385,9.88371,0.0377629,0.0809056,0.22132,0.138049,0.00430472,0.15099
7900,-10.0618,0.453268,9.90252,0.0452829,0.0662603,0.183033,0.112196,0.00553125,0.124498
8000,-10.1148,0.152917,9.54985,0.00740382,0.385579,1.69198,1.39738,0.000919611,0.57989
8000,-10.0716,0.618119,9.89396,0.0200265,0.168413,0.791293,0.318039,0.00207821,0.174134
8000,-10.0458,0.693168,9.9566,0.0293681,0.0993497,0.503485,0.173519,0.00316297,0.203223
8000,-10.0346,0.692736,9.97913,0.0388196,0.0723921,0.353431,0.117912,0.00433531,0.19692
8000,-10.0301,0.669929,9.98633,0.0480802,0.057987,0.269928,0.0937675,0.00578636,0.173122
8100,-9.82475,0.345913,10.1204,0.0091934,0.28976,1.20382,0.825794,0.0010353,0.262591
8100,-9.88475,0.315968,10.061,0.021836,0.167321,0.709108,0.308575,0.00215112,0.225556
8100,-9.9182,0.352716,10.0435,0.0310827,0.121634,0.412558,0.203767,0.0033714,0.174
8100,-9.93558,0.375826,10.0355,0.0403495,0.0961876,0.254449,0.151753,0.00468083,0.144328
8100,-9.94446,0.389386,10.0337,0.049643,0.0773837,0.175362,0.118809,0.00591789,0.128275
8200,-9.8654,0.546201,10.2283,0.00701304,0.26718,0.948776,0.759289,0.000932176,0.26901
8200,-9.95266,0.614526,10.0728,0.0196977,0.142359,0.47049,0.228343,0.00202371,0.143729
8200,-9.96105,0.604458,10.0589,0.0303745,0.0992794,0.323805,0.143305,0.00325713,0.126064
8200,-9.96329,0.581685,10.0522,0.0393346,0.0753632,0.252628,0.103907,0.00477875,0.103636
8200,-9.96718,0.564014,10.0446,0.0478816,0.0625529,0.210188,0.0848816,0.006109,0.0846364
8300,-9.83286,0.598078,10.2304,0.00804237,0.181318,0.701415,0.506053,0.000981609,0.301098
8300,-9.90747,0.575417,10.1113,0.0211455,0.0843847,0.28664,0.152474,0.00218865,0.163238
8300,-9.93648,0.543547,10.0719,0.0319563,0.0633765,0.190682,0.109103,0.00344751,0.105359
8300,-9.95418,0.532605,10.0532,0.0409472,0.0521474,0.14275,0.0868304,0.00477885,0.0773886
8300,-9.96613,0.525802,10.0446,0.0493577,0.0448323,0.117316,0.0735614,0.00619159,0.0616857
8400,-9.87232,0.538559,10.0689,0.00926424,0.24221,1.03453,0.671513,0.00105756,0.150143
8400,-9.9883,0.442809,9.95723,0.0206207,0.0957755,0.397079,0.156492,0.00223059,0.0723671
8400,-9.99363,0.442088,9.97538,0.0317596,0.0656949,0.257411,0.106244,0.00352771,0.0632506
8400,-9.99369,0.447295,9.98686,0.0402642,0.0526838,0.194004,0.0848027,0.00473819,0.0546837
8400,-9.99198,0.453523,9.99368,0.0490491,0.0453985,0.154805,0.0721202,0.00593102,0.0475864
8500,-9.84808,0.110757,10.0708,0.00700486,0.219478,1.14695,0.632317,0.000922901,0.423788
8500,-9.90369,0.230825,10.0429,0.0182519,0.106932,0.461934,0.181888,0.00190518,0.289088
8500,-9.92611,0.31816,10.0408,0.0276309,0.0714692,0.26945,0.116032,0.00302134,0.200484
8500,-9.93903,0.382105,10.0399,0.0374567,0.0533346,0.191457,0.0829507,0.0042847,0.138594
8500,-9.94759,0.423746,10.0365,0.0466855,0.0440946,0.150984,0.0663112,0.0055519,0.0994644
8600,-10.0212,0.456807,9.88868,0.00790844,0.244672,1.03982,0.631517,0.00097709,0.121284
8600,-10.038,0.389218,9.90304,0.0194234,0.0956455,0.367666,0.142924,0.00200746,0.152054
8600,-10.0347,0.38943,9.91748,0.0296638,0.0609352,0.228265,0.086042,0.00327034,0.142264
8600,-10.0309,0.401257,9.92878,0.0386134,0.047983,0.167557,0.0683372,0.00445368,0.125597
8600,-10.0276,0.415584,9.93707,0.0466058,0.0413719,0.13453,0.0572027,0.00573729,0.108853
8700,-9.9743,0.922319,10.0339,0.0086391,0.223728,1.10655,0.622731,0.00101566,0.42446
8700,-10.0115,0.986993,10.0299,0.0208705,0.0944271,0.364558,0.151759,0.00219161,0.488044
8700,-10.0267,0.93922,10.0173,0.0308318,0.0626775,0.219258,0.0988696,0.00329798,0.440372
8700,-10.0346,0.890856,10.0098,0.0401336,0.0491111,0.166148,0.0775073,0.00452417,0.39251
8700,-10.0342,0.853011,10.0058,0.0491879,0.0427802,0.134476,0.0652431,0.00601024,0.354712
8800,-9.89879,0.360185,10.0998,0.006434,0.294705,1.29075,0.90499,0.000890978,0.199381
8800,-9.9366,0.352367,10.0436,0.0189202,0.141008,0.617676,0.240816,0.00205262,0.166469
8800,-9.94862,0.345882,10.0314,0.0303403,0.0982326,0.397811,0.15836,0.00321969,0.165453
8800,-9.95524,0.350228,10.0242,0.0403686,0.0748871,0.282058,0.117444,0.00471692,0.158177
8800,-9.96063,0.363724,10.0208,0.0496644,0.0609872,0.216616,0.0956936,0.00593948,0.143366
8900,-10.0049,0.362807,9.87413,0.00790999,0.213943,0.904605,0.583553,0.00099705,0.18625
8900,-9.96685,0.388346,9.98662,0.0206163,0.0961752,0.476078,0.167065,0.00209971,0.117237
8900,-9.96702,0.405012,10.0033,0.0301729,0.063659,0.310711,0.102707,0.00329996,0.100603
8900,-9.96815,0.41401,10.0112,0.0391723,0.0504707,0.225808,0.0771688,0.00450375,0.0923842
8900,-9.97028,0.418006,10.0113,0.0483286,0.0430808,0.172506,0.0638035,0.00574191,0.0879413
9000,-9.80059,0.693009,10.3224,0.00776381,0.354591,1.26002,1.04842,0.000963735,0.42538
9000,-9.90164,0.596335,10.1231,0.0196368,0.188173,0.505444,0.304249,0.00207602,0.184688
9000,-9.92968,0.542368,10.0744,0.0293793,0.132331,0.316545,0.203691,0.00326746,0.110772
9000,-9.94123,0.509492,10.0585,0.0365405,0.0975973,0.21957,0.150555,0.00425319,0.0835012
9000,-9.94966,0.490528,10.0511,0.0451697,0.0759123,0.16804,0.117268,0.00543542,0.0723841
9100,-9.88869,0.384301,10.0878,0.00813492,0.254059,1.47759,0.953709,0.00100895,0.182979
9100,-9.92021,0.403857,10.0741,0.019962,0.0706694,0.501946,0.122699,0.00203559,0.145258
9100,-9.93703,0.401485,10.053,0.0292019,0.0481805,0.273271,0.0767674,0.0031896,0.128352
9100,-9.94829,0.400409,10.0416,0.0380114,0.0398966,0.185139,0.0618273,0.0044331,0.119695
9100,-9.95416,0.403689,10.0357,0.0467291,0.0355043,0.143243,0.0531504,0.00581398,0.112473
9200,-9.91855,0.380807,9.93679,0.00701695,0.325465,0.943346,0.997573,0.000907923,0.157594
9200,-9.93777,0.316526,9.99659,0.0204668,0.133243,0.244337,0.229861,0.00210351,0.193771
9200,-9.92891,0.337444,10.0328,0.0310825,0.0874551,0.157914,0.14001,0.00333161,0.180418
9200,-9.93023,0.353828,10.0423,0.0397894,0.0658345,0.127914,0.101299,0.00462946,0.167413
9200,-9.93805,0.370193,10.0431,0.0475816,0.0541217,0.110418,0.0806119,0.00579373,0.150141
9300,-9.91875,0.375068,10.0618,0.00857328,0.288797,1.03736,0.866161,0.000988895,0.161341
9300,-10.0132,0.45384,9.96141,0.021771,0.100627,0.428149,0.171418,0.00221034,0.0615947
9300,-10.023,0.498838,9.96665,0.0316358,0.0626913,0.257885,0.0946302,0.00344994,0.0405075
9300,-10.0276,0.517477,9.96736,0.0403874,0.0482171,0.185136,0.071496,0.00473245,0.0461918
9300,-10.0279,0.525338,9.96768,0.0488753,0.0416404,0.144546,0.0602359,0.00619888,0.0496268
9400,-10.0732,0.483751,9.80189,0.00929193,0.247187,1.84083,0.716397,0.00109918,0.211825
9400,-10.0662,0.395426,9.88172,0.0228508,0.125765,0.829293,0.192755,0.00230959,0.1712
9400,-10.0428,0.399212,9.91957,0.0320574,0.0861011,0.525957,0.119069,0.0035348,0.135871
9400,-10.027,0.40218,9.94233,0.039136,0.0664443,0.368092,0.090971,0.0046421,0.116708
9400,-10.019,0.406357,9.95571,0.0472993,0.0550218,0.273821,0.0760381,0.00577124,0.10532
9500,-10.0048,0.384649,9.92038,0.00810072,0.257781,1.0792,0.731736,0.00101092,0.14024
9500,-10.0775,0.422198,9.86757,0.0201009,0.106887,0.361866,0.171334,0.00210523,0.172042
9500,-10.0649,0.443932,9.88986,0.0305335,0.074054,0.232956,0.120139,0.00335877,0.13958
9500,-10.052,0.462708,9.91528,0.0393352,0.0578056,0.17483,0.0950064,0.0045842,0.106151
9500,-10.0417,0.481202,9.93046,0.0477745,0.0492937,0.141226,0.0803215,0.00572735,0.0832535
9600,-9.94527,0.672369,10.0808,0.00849484,0.262901,1.05988,0.708105,0.00102506,0.19809
9600,-10.0233,0.581555,9.95856,0.0214244,0.130537,0.434007,0.234178,0.002232,0.0944045
9600,-10.0274,0.522093,9.94814,0.0328612,0.0951987,0.275002,0.16088,0.0035921,0.0626787
9600,-10.029,0.488315,9.94351,0.0409535,0.0761935,0.205272,0.124865,0.00482565,0.0645627
9600,-10.0295,0.472609,9.94464,0.050182,0.0645852,0.166619,0.104362,0.00624029,0.0684485
9700,-9.93678,0.271205,10.0338,0.00838558,0.252986,0.819838,0.885224,0.00100099,0.239761
9700,-10.0084,0.292969,9.94476,0.0186626,0.123297,0.384385,0.245135,0.00203234,0.214438
9700,-10.0162,0.328212,9.94041,0.0295676,0.0827676,0.259712,0.155211,0.00323829,0.182553
9700,-10.0166,0.349116,9.94538,0.0384738,0.0643884,0.199316,0.11783,0.00451507,0.161318
9700,-10.016,0.366159,9.94905,0.0481894,0.0536699,0.161554,0.0948527,0.00582998,0.144105
9800,-9.82399,0.255814,10.2284,0.0091074,0.206866,0.936983,0.52508,0.00109344,0.377826
9800,-9.87484,0.300846,10.121,0.0203064,0.0970898,0.393312,0.162344,0.00206379,0.264526
9800,-9.89473,0.310516,10.0927,0.0297749,0.068589,0.275434,0.114102,0.00322393,0.235762
9800,-9.91058,0.327125,10.0761,0.0392383,0.0545437,0.212752,0.0912118,0.00452652,0.208996
9800,-9.92139,0.338569,10.0657,0.0486834,0.0457963,0.172132,0.0745514,0.00604298,0.191182
9900,-9.95668,0.0449041,9.88439,0.00841738,0.324615,1.25821,0.941457,0.000957633,0.471545
9900,-9.97415,0.168395,9.95441,0.0200683,0.113832,0.470176,0.19618,0.00206562,0.33572
9900,-9.98551,0.329618,9.97658,0.0300629,0.0635255,0.272029,0.107479,0.00332865,0.172593
9900,-9.99113,0.419316,9.9883,0.0404328,0.0464695,0.184775,0.0787542,0.00471253,0.0820092
9900,-9.99052,0.466365,9.99631,0.0487472,0.0390395,0.137215,0.0636956,0.00596853,0.0351384
